
Memória GPU alocada: 5.20 MB, reservada: 22.00 MB
/home/lpc/Downloads/prototypical-networks/prototypical-networks/fslenv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:216: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Epoch 1 train:   0%|                                                                                                                                                                               | 0/100 [00:00<?, ?it/s]
Memória GPU alocada: 21.24 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
Memória GPU alocada: 22.17 MB, reservada: 734.00 MB
